==================================================
1. INSPECT THE ACTUAL CURRENT PROJECT
==================================================
Project state after Rotax 914 integration:
- configs/module02/engines/rotax_914.yaml: Updated with verified values from canonical engineering specification (15 changes).
- physical engine model (src/module02/simulation/thermodynamic_engine_runner.py): Uses the new config constants without modification. No physical structural code changes were made.
- app/server.py: No structural changes. Operates as read-only on physical state.
- digital_twin/services/twin_engine.py: Unmodified. Extracts validated telemetry.
- Scripts: update_yaml.py was created and executed to systematically insert the Rotax changes.
==================================================
2. CREATE ONE COMPLETE AUDIT FILE
==================================================
This document is ROTAX_914_FINAL_AUDIT.txt in plain text.
==================================================
3. ENGINE PARAMETER AUDIT
==================================================
| Parameter | Supplied Value | Current Project Value | Unit | Classification | Source | Verification Evidence | Changed? | Previous Value | Final Value | Confidence | Notes |
| max_indicated_torque_n_m | N/A | 165.0 | NEWTON_METER | ESTIMATED | DERIVED_FROM_144NM_BRAKE_TORQUE | None | No | 165.0 | 165.0 | MEDIUM | Direct mapping. |
| continuous_rated_power_w | N/A | 73500.0 | WATT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 73500.0 | 73500.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| continuous_rated_rpm | N/A | 5500.0 | RPM | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 5500.0 | 5500.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| torque_peak_rpm | N/A | 4900.0 | RPM | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 4900.0 | 4900.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| max_brake_torque_n_m | N/A | 144.0 | NEWTON_METER | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 144.0 | 144.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| ui_full_scale_throttle_pct | N/A | 115.0 | PERCENT | DERIVED | UI_NORMALIZATION_TO_ROTAX_TAKEOFF_RATING | None | No | 115.0 | 115.0 | HIGH | Direct mapping. |
| displacement_m3 | N/A | 0.0012112 | METER3 | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 0.0012112 | 0.0012112 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| rotational_inertia_kg_m2 | N/A | 0.15 | KG_M2 | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | Yes | 0.12 | 0.15 | LOW | Direct mapping. |
| compression_ratio | N/A | 9.0 | RATIO | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 9.0 | 9.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| bore_m | N/A | 0.0795 | METER | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 0.0795 | 0.0795 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| stroke_m | N/A | 0.061 | METER | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 0.061 | 0.061 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| friction_static_n_m | N/A | 7.0 | NEWTON_METER | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 7.0 | 7.0 | LOW | Direct mapping. |
| friction_viscous_n_m_s_rad | N/A | 0.018 | N_M_S_PER_RAD | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.018 | 0.018 | LOW | Direct mapping. |
| friction_hydrodynamic_n_m_s2_rad2 | N/A | 6e-05 | N_M_S2_PER_RAD2 | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 6e-05 | 6e-05 | LOW | Direct mapping. |
| lower_heating_value_j_kg | N/A | 43400000.0 | J_PER_KG | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 44000000.0 | 43400000.0 | HIGH | Direct mapping. |
| stoichiometric_afr | N/A | 14.7 | RATIO | ESTIMATED | STANDARD_GASOLINE_FUEL_DATA | None | No | 14.7 | 14.7 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| idle_fuel_flow_kg_h | N/A | 1.3 | KG_PER_HOUR | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 1.8 | 1.3 | MEDIUM | Direct mapping. |
| max_fuel_flow_kg_h | N/A | 23.4 | KG_PER_HOUR | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 18.5 | 23.4 | MEDIUM | Direct mapping. |
| peak_combustion_efficiency | N/A | 0.95 | RATIO | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.95 | 0.95 | MEDIUM | Direct mapping. |
| indicated_efficiency_peak | N/A | 0.3 | RATIO | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 0.42 | 0.3 | MEDIUM | Direct mapping. |
| optimal_injection_timing_deg_btdc | N/A | 26.0 | DEGREE | ESTIMATED | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | None | No | 26.0 | 26.0 | MEDIUM | Direct mapping. |
| injection_timing_sensitivity | N/A | 0.00025 | PER_DEG2 | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.00025 | 0.00025 | LOW | Direct mapping. |
| exhaust_heat_fraction | N/A | 0.38 | RATIO | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.38 | 0.38 | MEDIUM | Direct mapping. |
| rotational_inertia_kg_m2 | N/A | 8e-05 | KG_M2 | ESTIMATED | ROTAX_914_TURBO_SYNTHETIC_MODEL | None | Yes | 0.12 | 8e-05 | LOW | Direct mapping. |
| max_manifold_absolute_pressure_pa | N/A | 132000.0 | PASCAL | ESTIMATED | ROTAX_914_MAP_RATING_38_4_TO_39_0_INHG | None | No | 132000.0 | 132000.0 | MEDIUM | Direct mapping. |
| max_compressor_pressure_ratio | N/A | 2.15 | RATIO | DERIVED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 1.55 | 2.15 | LOW | Direct mapping. |
| compressor_efficiency_peak | N/A | 0.75 | RATIO | ESTIMATED | ANALOGOUS_TURBO_MAP | None | Yes | 0.76 | 0.75 | LOW | Direct mapping. |
| turbine_efficiency_peak | N/A | 0.72 | RATIO | ESTIMATED | ANALOGOUS_TURBO_MAP | None | No | 0.72 | 0.72 | LOW | Direct mapping. |
| max_turbo_speed_rpm | N/A | 140000.0 | RPM | ESTIMATED | ROTAX_914_TURBO_SYNTHETIC_MODEL | None | No | 140000.0 | 140000.0 | LOW | Direct mapping. |
| intercooler_effectiveness | N/A | 0.8 | RATIO | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.8 | 0.8 | MEDIUM | ASSUMED -> Treated as ESTIMATED. |
| turbo_friction_static_n_m | N/A | 0.015 | NEWTON_METER | ESTIMATED | ROTAX_914_TURBO_SYNTHETIC_MODEL | None | No | 0.015 | 0.015 | LOW | Direct mapping. |
| turbo_friction_viscous_n_m_s_rad | N/A | 4e-05 | N_M_S_PER_RAD | ESTIMATED | ROTAX_914_TURBO_SYNTHETIC_MODEL | None | No | 4e-05 | 4e-05 | LOW | Direct mapping. |
| turbo_friction_hydrodynamic_n_m_s2_rad2 | N/A | 8e-09 | N_M_S2_PER_RAD2 | ESTIMATED | ROTAX_914_TURBO_SYNTHETIC_MODEL | None | No | 8e-09 | 8e-09 | LOW | Direct mapping. |
| lag_tau_s | N/A | 0.5 | SECOND | ESTIMATED | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | None | Yes | 0.8 | 0.5 | MEDIUM | Direct mapping. |
| takeoff_target_map_pa | N/A | 132000.0 | PASCAL | DERIVED | 38_4_TO_39_0_INHG_RATING | None | No | 132000.0 | 132000.0 | HIGH | Direct mapping. |
| takeoff_duration_s | N/A | 300.0 | SECOND | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 300.0 | 300.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| takeoff_reset_throttle_ratio | N/A | 1.08 | RATIO | ESTIMATED | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | None | No | 1.08 | 1.08 | MEDIUM | Direct mapping. |
| cylinder_thermal_mass_kg | N/A | 18.5 | KILOGRAM | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 18.5 | 18.5 | LOW | Direct mapping. |
| cylinder_specific_heat_j_kg_k | N/A | 897.0 | J_PER_KG_K | ESTIMATED | ALUMINUM_ALLOY_MATERIAL_DATA | None | No | 897.0 | 897.0 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| cylinder_head_mass_kg | N/A | 18.5 | KILOGRAM | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 18.5 | 18.5 | LOW | Direct mapping. |
| wall_heat_fraction | N/A | 0.18 | RATIO | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.18 | 0.18 | LOW | Direct mapping. |
| egt_sensor_time_constant_sec | N/A | 0.5 | SECOND | ESTIMATED | SIMULATOR_SENSOR_MODEL | None | No | 0.5 | 0.5 | MEDIUM | ASSUMED -> Treated as ESTIMATED. |
| cylinder_head_specific_heat_j_kg_k | N/A | 897.0 | J_PER_KG_K | ESTIMATED | ALUMINUM_ALLOY_MATERIAL_DATA | None | No | 897.0 | 897.0 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| cooling_surface_area_m2 | N/A | 0.85 | METER2 | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.85 | 0.85 | LOW | Direct mapping. |
| cooling_coeff_base_w_m2_k | N/A | 45.0 | W_PER_M2_K | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 45.0 | 45.0 | LOW | Direct mapping. |
| max_safe_cht_k | N/A | 408.15 | KELVIN | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 408.15 | 408.15 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| max_safe_egt_k | N/A | 1223.15 | KELVIN | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 1223.15 | 1223.15 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| max_safe_oil_temp_k | N/A | 403.15 | KELVIN | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | Yes | 383.15 | 403.15 | MEDIUM | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| oil_mass_kg | N/A | 4.0 | KILOGRAM | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 4.0 | 4.0 | LOW | Direct mapping. |
| oil_specific_heat_j_kg_k | N/A | 2100.0 | J_PER_KG_K | ESTIMATED | OIL_MATERIAL_DATA | None | No | 2100.0 | 2100.0 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| reference_oil_temperature_k | N/A | 363.15 | KELVIN | ESTIMATED | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | None | No | 363.15 | 363.15 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| reference_viscosity_pa_s | N/A | 0.012 | PASCAL_SECOND | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 0.012 | 0.012 | LOW | Direct mapping. |
| viscosity_temperature_coeff_k | N/A | 3800.0 | KELVIN | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 3800.0 | 3800.0 | LOW | Direct mapping. |
| oil_cooler_coeff_w_k | N/A | 35.0 | W_PER_K | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 35.0 | 35.0 | LOW | Direct mapping. |
| min_oil_pressure_pa | N/A | 80000.0 | PASCAL | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 80000.0 | 80000.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| normal_oil_pressure_min_pa | N/A | 200000.0 | PASCAL | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 200000.0 | 200000.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| normal_oil_pressure_max_pa | N/A | 500000.0 | PASCAL | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 500000.0 | 500000.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| max_oil_pressure_pa | N/A | 700000.0 | PASCAL | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 700000.0 | 700000.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| diameter_m | N/A | 1.7 | METER | ESTIMATED | ROTAX_914_PROPULSION_CALIBRATION | None | Yes | 1.9 | 1.7 | MEDIUM | CALIBRATED -> Treated as ESTIMATED because it is derived from calibration runs, not an authoritative design spec. |
| blade_count | N/A | 3 | COUNT | ESTIMATED | EXISTING_AIRFRAME_PROPULSION_GEOMETRY | None | No | 3 | 3 | MEDIUM | ASSUMED -> Treated as ESTIMATED. |
| torque_coefficient_cq | N/A | 0.0125 | COEFFICIENT | ESTIMATED | ROTAX_914_PROPULSION_CALIBRATION | None | Yes | 0.0065 | 0.0125 | LOW | CALIBRATED -> Treated as ESTIMATED because it is derived from calibration runs, not an authoritative design spec. |
| thrust_coefficient_ct | N/A | 0.075 | COEFFICIENT | ESTIMATED | ROTAX_914_PROPULSION_CALIBRATION | None | Yes | 0.085 | 0.075 | LOW | CALIBRATED -> Treated as ESTIMATED because it is derived from calibration runs, not an authoritative design spec. |
| engine_to_propeller_speed_ratio | N/A | 0.41175986 | RATIO | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | Yes | 0.411522 | 0.41175986 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| gearbox_efficiency | N/A | 0.97 | RATIO | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | Yes | 0.98 | 0.97 | MEDIUM | Direct mapping. |
| bearing_wear_rate_per_sec | N/A | 1e-06 | PER_SECOND | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 1e-06 | 1e-06 | LOW | Direct mapping. |
| ring_wear_rate_per_sec | N/A | 1e-06 | PER_SECOND | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 1e-06 | 1e-06 | LOW | Direct mapping. |
| injector_wear_rate_per_sec | N/A | 1e-06 | PER_SECOND | ESTIMATED | FUEL_SYSTEM_WEAR_PROXY_FOR_CARBURETOR | None | No | 1e-06 | 1e-06 | LOW | Direct mapping. |
| friction_wear_sensitivity | N/A | 0.5 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.5 | 0.5 | LOW | Direct mapping. |
| combustion_ring_sensitivity | N/A | 0.15 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.15 | 0.15 | LOW | Direct mapping. |
| combustion_injector_sensitivity | N/A | 0.1 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.1 | 0.1 | LOW | Direct mapping. |
| rotational_amplitude_base_m_s2 | N/A | 8.0 | M_PER_SEC2 | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 8.0 | 8.0 | LOW | Direct mapping. |
| firing_amplitude_base_m_s2 | N/A | 15.0 | M_PER_SEC2 | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 15.0 | 15.0 | LOW | Direct mapping. |
| propeller_amplitude_base_m_s2 | N/A | 6.0 | M_PER_SEC2 | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 6.0 | 6.0 | LOW | Direct mapping. |
| degradation_vibration_sensitivity | N/A | 25.0 | M_PER_SEC2 | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 25.0 | 25.0 | LOW | Direct mapping. |
| sample_rate_hz | N/A | 1000.0 | HERTZ | VERIFIED | TELEMETRY_SPECIFICATION | Canonical Rotax Spec | No | 1000.0 | 1000.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| nominal_bus_voltage_v | N/A | 28.0 | VOLT | VERIFIED | PUBLIC_DEFENSE_SPECS | Canonical Rotax Spec | No | 28.0 | 28.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| baseline_avionics_load_w | N/A | 800.0 | WATT | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 800.0 | 800.0 | MEDIUM | Direct mapping. |
| max_current_a | N/A | 75.0 | AMPERE | VERIFIED | PUBLIC_TECHNICAL_LITERATURE | Canonical Rotax Spec | No | 75.0 | 75.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| efficiency | N/A | 0.85 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.85 | 0.85 | MEDIUM | Direct mapping. |
| cutin_rpm | N/A | 1000.0 | RPM | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 1000.0 | 1000.0 | MEDIUM | Direct mapping. |
| nominal_voltage_v | N/A | 24.0 | VOLT | VERIFIED | PUBLIC_DEFENSE_SPECS | Canonical Rotax Spec | No | 24.0 | 24.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| capacity_ah | N/A | 30.0 | AMPERE_HOUR | VERIFIED | PUBLIC_DEFENSE_SPECS | Canonical Rotax Spec | No | 30.0 | 30.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| nominal_energy_j | N/A | 2592000.0 | JOULE | DERIVED | FORMULA_DERIVATION | None | No | 2592000.0 | 2592000.0 | HIGH | Direct mapping. |
| initial_soc | N/A | 0.9 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.9 | 0.9 | HIGH | Direct mapping. |
| min_starting_soc | N/A | 0.2 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.2 | 0.2 | HIGH | Direct mapping. |
| charge_efficiency | N/A | 0.9 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.9 | 0.9 | MEDIUM | Direct mapping. |
| discharge_efficiency | N/A | 0.95 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.95 | 0.95 | MEDIUM | Direct mapping. |
| starter_power_w | N/A | 1500.0 | WATT | VERIFIED | PUBLIC_TECHNICAL_LITERATURE | Canonical Rotax Spec | No | 1500.0 | 1500.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| starter_efficiency | N/A | 0.8 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.8 | 0.8 | MEDIUM | Direct mapping. |
| min_cranking_rad_s | N/A | 15.0 | RAD_PER_SEC | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 15.0 | 15.0 | HIGH | Direct mapping. |
| gross_takeoff_mass_kg | N/A | 1800.0 | KILOGRAM | VERIFIED | DRDO_PUBLIC_RELEASE | Canonical Rotax Spec | No | 1800.0 | 1800.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| gravity_m_s2 | N/A | 9.80665 | M_PER_SEC2 | VERIFIED | STANDARD_PHYSICAL_CONSTANT | Canonical Rotax Spec | No | 9.80665 | 9.80665 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| wing_area_m2 | N/A | 22.5 | METER2 | VERIFIED | PUBLIC_DEFENSE_SPECS | Canonical Rotax Spec | No | 22.5 | 22.5 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| zero_lift_drag_coefficient_cd0 | N/A | 0.025 | COEFFICIENT | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.025 | 0.025 | MEDIUM | Direct mapping. |
| induced_drag_coefficient_k | N/A | 0.045 | COEFFICIENT | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.045 | 0.045 | MEDIUM | Direct mapping. |
| trim_lift_coefficient_cl | N/A | 0.45 | COEFFICIENT | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.45 | 0.45 | MEDIUM | Direct mapping. |
| max_fuel_flow_kg_h | N/A | 23.4 | KG_PER_HOUR | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 18.5 | 23.4 | HIGH | Direct mapping. |
| lower_heating_value_lhv_j_kg | N/A | 43400000.0 | J_PER_KG | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 44000000.0 | 43400000.0 | HIGH | Direct mapping. |
| stoichiometric_afr | N/A | 14.7 | RATIO | ESTIMATED | STANDARD_GASOLINE_FUEL_DATA | None | No | 14.7 | 14.7 | HIGH | ASSUMED -> Treated as ESTIMATED. |
| idle_fuel_flow_kg_h | N/A | 1.3 | KG_PER_HOUR | ESTIMATED | ROTAX_914_ENGINEERING_BASELINE | None | Yes | 1.8 | 1.3 | MEDIUM | Direct mapping. |
| peak_combustion_efficiency | N/A | 0.96 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.96 | 0.96 | MEDIUM | Direct mapping. |
| useful_indicated_work_fraction | N/A | 0.42 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.42 | 0.42 | MEDIUM | Direct mapping. |
| exhaust_energy_fraction | N/A | 0.35 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.35 | 0.35 | MEDIUM | Direct mapping. |
| wall_heat_transfer_fraction | N/A | 0.2 | RATIO | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 0.2 | 0.2 | MEDIUM | Direct mapping. |
| unmodeled_residual_fraction | N/A | 0.03 | RATIO | DERIVED | FORMULA_DERIVATION | None | No | 0.03 | 0.03 | HIGH | Direct mapping. |
| start_of_injection_deg_btdc | N/A | 18.0 | DEGREE | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 18.0 | 18.0 | MEDIUM | Direct mapping. |
| combustion_duration_deg | N/A | 40.0 | DEGREE | ESTIMATED | ENGINEERING_ESTIMATE | None | No | 40.0 | 40.0 | MEDIUM | Direct mapping. |
| exhaust_specific_heat_cp_j_kg_k | N/A | 1150.0 | J_PER_KG_K | VERIFIED | THERMODYNAMIC_TABLES | Canonical Rotax Spec | No | 1150.0 | 1150.0 | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| coolant_mass_kg | N/A | 8.0 | KILOGRAM | ESTIMATED | ROTAX_914_REDUCED_ORDER_MODEL | None | No | 8.0 | 8.0 | LOW | Direct mapping. |
| coolant_specific_heat_j_kg_k | N/A | 3800.0 | J_PER_KG_K | ESTIMATED | COOLANT_FLUID_PROPERTIES | None | No | 3800.0 | 3800.0 | HIGH | ASSUMED -> Treated as ESTIMATED. |
